Fecha,GravedadNombre,ClaseNombre,ChoqueNombre,ObjetoFijoCodigo,ObjetoFijoNombre,OtraClase,NombreOtraClase,Latitud,Longitud,Direccion,TipoVia1,NumeroVia1,LetraVia1,CardinalVia1,TipoVia2,NumeroVia2,LetraVia2,CardinalVia2,Localidad,HoraOcurrencia,TipoDiseño,TipoTiempo,TotalMuertos,TotalHeridos
01/13/2016 12:00:00 AM,Con Heridos,Choque,Vehiculo, , , , ,0,0,KR 101-CL 83 02,KR,101, , ,CL,83, , ,ENGATIVA,12/31/1899 10:30:00 PM,Interseccion,Normal,0,2
01-12-16 0:00,Con Heridos,Atropello, , , , , ,0,0,CL 147-KR 7 02,CL,147, , ,KR,7, , ,USAQUEN,12/31/1899 03:40:00 PM,Interseccion,Normal,0,1
01/13/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 19-KR 5 SE 02,CL,19, ,S,KR,5, ,E,SAN CRISTOBAL,12/31/1899 07:20:00 AM,Tramo de Via,Normal,0,0
01/17/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,AC 80-KR 107 02,AC,80, , ,KR,107, , ,ENGATIVA,12/31/1899 06:10:00 AM,Tramo de Via,Normal,0,0
01/18/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,TR 14-CL 48 S 05,TR,14, , ,CL,48, ,S,RAFAEL URIBE URIBE,12/31/1899 05:00:00 PM,Tramo de Via,Normal,0,0
01/18/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,TR 77-CL 84A 02,TR,77, , ,CL,84,A, ,ENGATIVA,12/31/1899 02:35:00 PM,Tramo de Via,Normal,0,0
01/18/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 78B-CL 72 02,KR,78,B, ,CL,72, , ,ENGATIVA,12/31/1899 07:00:00 PM,Tramo de Via,Normal,0,0
01/19/2016 12:00:00 AM,Con Heridos,Choque,Vehiculo, , , , ,0,0,AV AVENIDA CIUDAD DE CALI-KR 8 32,AV,AVENIDA CIUDAD DE CALI, , ,KR,8, , ,KENNEDY,12/31/1899 10:40:00 AM,Tramo de Via,Normal,0,1
01/20/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 13-KR 68D 76,CL,13, , ,KR,68,D, ,FONTIBON,12/31/1899 08:45:00 PM,Tramo de Via,Normal,0,0
01/23/2016 12:00:00 AM,Con Heridos,Otro, , , ,2,Caida dentro del vehiculo,0,0,KR 24A-CL 22 S 02,KR,24,A, ,CL,22, ,S,ANTONIO NARIÑO,12/31/1899 08:30:00 PM,Interseccion,Normal,0,2
01/23/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 68-KR 28B 02,CL,68, , ,KR,28,B, ,BARRIOS UNIDOS,12/31/1899 03:00:00 PM,Tramo de Via,Normal,0,0
01/24/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 48C-KR 21 S 13,CL,48,C,S,KR,21, , ,TUNJUELITO,12/31/1899 08:50:00 AM,Tramo de Via,Normal,0,0
01/25/2016 12:00:00 AM,Con Heridos,Choque,Vehiculo, , , , ,0,0,KR 89-CL 66A 02,KR,89, , ,CL,66,A, ,ENGATIVA,12/31/1899 06:30:00 AM,Tramo de Via,Normal,0,1
01/27/2016 12:00:00 AM,Con Heridos,Atropello, , , , , ,0,0,CL 22-KR 16 16,CL,22, , ,KR,16, , ,LOS MARTIRES,12/31/1899 09:10:00 AM,Tramo de Via,Normal,0,1
01/26/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,AV AVENIDA LUIS CARLOS GALAN-KR 60 02,AV,AVENIDA LUIS CARLOS GALAN, , ,KR,60, , ,TEUSAQUILLO,12/31/1899 02:05:00 PM,Tramo de Via,Normal,0,0
01/28/2016 12:00:00 AM,Con Heridos,Choque,Vehiculo, , , , ,0,0,CL 69A-KR 17D S 12,CL,69,A,S,KR,17,D, ,CIUDAD BOLIVAR,12/31/1899 06:40:00 AM,Interseccion,Normal,0,2
02/26/2016 12:00:00 AM,Con Muertos,Atropello, , , , , ,0,0,AK 80-CL 46 S 02,AK,80, , ,CL,46, ,S,KENNEDY,12/31/1899 05:45:00 AM,Interseccion,Normal,1,0
